Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.43141174,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,98.6,99.328691,99.519494,99.575151,99.650247,99.710902,99.7,99.8,99.7,99.8,99.70271301
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.387949447,1.389896401,3.053461859,1.140828998,5.759964637,3.202132061,3.961988711,6.069870607,5.094195447,-0.125812002,7.528225818,3.974423079,1.921175986,3.004822669,0.50395574,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824,-3.276758796
Brazil,BRA,Population growth (annual %),SP.POP.GROW,1.36677133,1.320694758,1.262841536,1.185669439,1.139393012,1.117202878,1.077353846,1.032027233,0.987284203,0.953147865,0.939418022,0.92858963,0.900343361,0.86834615,0.857834829,0.845992601,0.811256478,0.7922634,0.793768154,0.766107802,0.665176682
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,65.9343586,65.4616709,64.98898319,64.51629549,64.04360779,63.57092009,63.09823238,62.62554468,62.15285698,61.68016927,61.20748157,61.02332816,60.83917474,60.65502133,60.47086792,60.28671451,60.07103255,59.83288148,59.70842795,59.55852618,59.41747805
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,313670.8,319375.7,317756.5,310808.1,328517.3,331689.1,335624.6,352555.8,373633.1,350000.9,397931.1,418295.4,454232.9,486844.7,511618,485344.1,447077.3,455684.8,433838.8,434318,414138.8
Brazil,BRA,Agricultural land (sq. km),AG.LND.AGRI.K2,2283235,2284272,2285309,2286346,2287383,2288420,2289510,2296718,2303926,2311134,2318342,2325550,2332758,2339966,2347174,2354382,2361590,2368786,2375018.01,2381244.91,2387470.81
Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.764647551,0.386103426,0.041962499,1.535125499,2.186115694,1.803900872,1.372350128,1.483969412,-1.224289001,-5.693236359,4.097917919,0.023809524,1.374750999,2.005100177,0.296205514,1.560626697,0.753826746,1.675331752,0.643391023,-0.402169201,-4.278603688
Japan,JPN,Population growth (annual %),SP.POP.GROW,0.167275578,0.240952588,0.232527187,0.213980949,0.033662258,0.009392097,0.063373589,0.114908848,0.048425395,-0.012494631,0.017960542,-0.185226486,-0.159710676,-0.144271883,-0.132694222,-0.106124994,-0.051137415,-0.081874296,-0.126880068,-0.140464978,-0.294194618
Japan,JPN,Forest area (% of land area),AG.LND.FRST.ZS,68.24691358,68.27160494,68.2962963,68.32098765,68.34567901,68.37037037,68.39506173,68.41975309,68.44444444,68.4691358,68.49382716,68.48175583,68.4696845,68.45761317,68.44554184,68.43347051,68.42249657,68.40877915,68.40877915,68.40877915,68.40877915
Japan,JPN,CO2 emissions (kt),EN.ATM.CO2E.KT,1184424.9,1172339.5,1206760.2,1213929.5,1207285.7,1215474.4,1193043.3,1227990.8,1158836.1,1102386.2,1157241.8,1213775.6,1254319.4,1267376.2,1217306.6,1178349.1,1164869.4,1150835,1111115.3,1073645.3,1014064.7
Japan,JPN,Agricultural land (sq. km),AG.LND.AGRI.K2,52580,52130,51750,51400,51100,50800,50534,50268,49992,49746,49530,49190,49050,48920,48700,48460,48130,47780,47460,47150,46820
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.74505615,96.98531342,97.21701813,97.44718933,97.68283081,97.93093872,98.19830322,98.4865036,98.79193878,99.11075592,99.7,99.88720703,99.94743347,99.99295044,100,100,100,100,100,100,100
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.490093406,8.335733478,9.13363079,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.65067892,9.398725632,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773832,5.950500754,2.238638356
China,CHN,Population growth (annual %),SP.POP.GROW,0.787956593,0.726380638,0.669999568,0.622860936,0.593932815,0.58812499,0.558374367,0.522271866,0.512386932,0.497381401,0.482959689,0.546457595,0.678345459,0.666072978,0.63032639,0.581456147,0.573050906,0.605245013,0.467672053,0.35474089,0.23804087
China,CHN,Forest area (% of land area),AG.LND.FRST.ZS,18.85347276,19.10496812,19.3564539,19.60793869,19.85942287,20.11090813,20.36239278,20.61387789,20.86536169,21.11684505,21.36832885,21.57462737,21.78092589,21.9872244,22.19352292,22.39982144,22.63049793,22.83070681,23.03091218,23.23111754,23.4313229
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,3346525.8,3529081.3,3796157.1,4424412.6,5113216.6,5824625.1,6437470.3,6993182.8,7199604.7,7719071.4,8474922.7,9282553.7,9540539.7,9979128,10021043.4,9859281.2,9860914,10089273.2,10567262,10762824,10944686.2
China,CHN,Agricultural land (sq. km),AG.LND.AGRI.K2,5228730,5234668.444,5240606.889,5246545.333,5252483.778,5258422.222,5264360.667,5270299.111,5276237.556,5282176,5274623,5267130,5259607,5252084,5244561,5237038,5229515,5221992,5214469,5206950,5206950
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.177635668,1.78997288,3.018050512,1.801518136,3.086980809,3.204200428,2.634303814,2.071825031,1.004289199,-2.925955647,3.089919462,3.146100491,1.760961588,2.329122506,2.870036075,0.659176864,1.001394414,3.039880225,2.777040554,1.888223585,-5.074357568
Canada,CAN,Population growth (annual %),SP.POP.GROW,0.931281553,1.086350966,1.087447927,0.901372739,0.933020777,0.944466927,1.010334503,0.971135141,1.082907116,1.141758099,1.111864075,0.978697787,1.085817263,1.056591259,1.005337579,0.746339478,1.132348655,1.199520711,1.412455869,1.436136823,1.073795827
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,38.79298183,38.78763071,38.78227958,38.77692846,38.77157733,38.7662262,38.76087508,38.75552395,38.75017283,38.7448217,38.73947058,38.73486407,38.73025757,38.72565107,38.72104457,38.71643807,38.71201338,38.7078876,38.70376294,38.69963717,38.69551251
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,514215.1,506615.9,524353.4,544541.8,536417.3,549032.7,540525.6,571632,550553.2,521399.4,537091.5,549369.9,546291.6,555742.4,561760.5,558747.2,556874.1,568175.9,579573.9,566001.8,516873.7
Canada,CAN,Agricultural land (sq. km),AG.LND.AGRI.K2,612870,613081.608,620910,619460,618010,616560,605840,600080,594320,588560,582800,576997,577710,578420,579130,579850,580500,578676,578892,576878,571174
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.923669227,1.983721419,1.135531482,0.823160757,2.829752929,1.66321998,2.449323601,2.424736243,0.25494596,-2.873313828,1.949437623,2.192700633,0.313134751,0.576326675,0.956183052,1.112912341,1.095464404,2.291419994,1.865066071,1.842971814,-7.784586492
France,FRA,Population growth (annual %),SP.POP.GROW,0.686782587,0.72943079,0.728746207,0.71044809,0.735098068,0.749918325,0.693706612,0.616493932,0.557563758,0.513102876,0.492821126,0.482694782,0.48395349,0.516539661,0.468246342,0.35556924,0.263868789,0.290202116,0.358494582,0.341374143,0.271350508
France,FRA,Forest area (% of land area),AG.LND.FRST.ZS,27.91987099,28.12642106,28.33297112,28.52389357,28.74607126,28.95315008,29.15970392,29.36625776,29.5728116,29.77936544,29.98591927,30.13823218,30.29054509,30.442858,30.59517091,30.74748382,30.89979673,31.05210964,31.20442255,31.35673546,31.50904837
France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,373235.8,376860.3,371167.2,376838.7,377948.5,380816.1,371741,363052.2,358211.2,343882.5,347940.1,335031.9,338315.4,338453.1,306017.4,311175.4,313835.2,317721.2,306948.4,300561.6,267154.7
France,FRA,Agricultural land (sq. km),AG.LND.AGRI.K2,298074,297133,296107,295346,294584,293904,293127,292061,291101,290199,289263,288786,288448,287737,287665,287269,287180.21,286974.99,286601,286211.86,285537.54
India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.29283905,62.00543976,62.3,65.41201019,64.4,68.8404541,67.9,72.3407135,74.11849213,75,76.3,79.51678467,79.9,83.13139343,85.13391113,88,89.58630371,91.79415894,95.7,95.88594055,96.5
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.840991157,4.823966264,3.803975321,7.860381476,7.922936613,7.923430621,8.060732573,7.660815065,3.08669806,7.861888833,8.497584702,5.241315001,5.456388753,6.386106401,7.410227605,7.996253786,8.256305502,6.795383419,6.453851345,3.871436941,-5.83105322
India,IND,Population growth (annual %),SP.POP.GROW,1.822184002,1.808446421,1.776767874,1.724269032,1.67281087,1.604129169,1.52430796,1.46637175,1.422391509,1.39119493,1.377595812,1.361588085,1.33219205,1.297548835,1.240362184,1.18779532,1.185046229,1.155624491,1.087527722,1.025310772,0.955220858
India,IND,Forest area (% of land area),AG.LND.FRST.ZS,22.733495,22.7975676,22.86164019,22.92571279,22.98978538,23.05385798,23.11793057,23.18200317,23.24607576,23.31014836,23.37422095,23.46382169,23.55342242,23.64302315,23.73262388,23.82222461,23.91182535,24.00142608,24.09102681,24.18062754,24.27022827
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,937858.4,953537.3,985453.3,1011770.9,1085666.9,1136466.4,1215205.2,1336737.1,1424383,1564881.1,1659983,1756744,1909442,1972429.4,2147107,2158023.2,2195248.5,2308804.4,2458175.9,2423951.4,2200836.3
India,IND,Agricultural land (sq. km),AG.LND.AGRI.K2,1809750,1804870,1805600,1802490,1803750,1801260,1799060,1796200,1797570,1800680,1795730,1796700,1796420,1796980,1797280,1796750,1795780,1792356.04,1791155.64,1790449.469,1785277.59
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,43.17996979,43.91169739,44.63488007,52.2,46.08362961,46.82321548,47.58205414,50.13091943,50.3,49.96892166,48,55.9,53.0173645,55.6,54.15365219,52.5,59.3,54.4,56.5,55.4,55.4
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.015934757,5.917684652,15.32915574,7.34719497,9.250558228,6.438516525,6.059428031,6.591130361,6.764472778,8.036925102,8.005655915,5.307924204,4.230061175,6.671335393,6.309718656,2.652693295,-1.61686895,0.80588662,1.922757342,2.208429277,-1.794253082
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,2.60286877,2.651265494,2.682889956,2.692767906,2.695503465,2.693693418,2.695925823,2.709626937,2.719686803,2.727384843,2.744378852,2.764062379,2.749288878,2.697474043,2.628123853,2.541187462,2.507034086,2.52731692,2.496644904,2.448200698,2.440608885
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,27.33186205,27.15255663,26.97325121,26.79394578,26.61464036,26.43533494,26.25602951,26.07672409,25.89741867,25.71811324,25.53880782,25.3595024,25.18019698,25.00089155,24.82158613,24.64228071,24.46297957,24.28368304,24.1043842,23.92508537,23.74578653
Nigeria,NGA,CO2 emissions (kt),EN.ATM.CO2E.KT,97215.1,101945.3,92237.6,100994.9,98724.9,98719,88767.7,81122.6,86932,76947.4,90055.2,94996.5,95335.3,108116.8,114815.5,107746.4,110817.5,108481.2,113633.1,119544.1,111978.1
Nigeria,NGA,Agricultural land (sq. km),AG.LND.AGRI.K2,655080,656670,658080,659570,661030,662560,663970,665460,666960,668430,669940,671430,672930,674420,675930,677370,678910,680390,681920,683420,684930
South Africa,ZAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,72.39502716,70.2,76.7,78.8,80.6,80.8,80.7,82,81.9,82.6,82.8,83.6,85.2,85.2,85.9,85.3,83.9,84.4,84.7,85,90
South Africa,ZAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.200000001,2.7,3.700374404,2.949075468,4.554559907,5.277051973,5.603806459,5.360474054,3.191043886,-1.538089135,3.039732881,3.168556279,2.396232385,2.485468008,1.413826452,1.321862237,0.664552308,1.157946952,1.522329387,0.303453235,-6.342471149
South Africa,ZAF,Population growth (annual %),SP.POP.GROW,0.962864026,0.885660412,0.910100943,0.924209373,0.935290169,0.945094241,0.963593458,1.013877213,1.133081339,1.18929507,1.193036004,1.263405618,1.329158525,1.361621107,1.576294221,2.074016859,0.972003982,0.387278488,1.22553004,1.295073863,1.223179295
South Africa,ZAF,Forest area (% of land area),AG.LND.FRST.ZS,14.65521107,14.62520505,14.59519904,14.56519302,14.535187,14.50518098,14.47517497,14.44516895,14.41516293,14.38515691,14.3551509,14.32514488,14.29513886,14.26513284,14.23512682,14.20512081,14.17511479,14.14510877,14.11510275,14.08509674,14.05509072
South Africa,ZAF,CO2 emissions (kt),EN.ATM.CO2E.KT,284463.3,320393.3,331272,353033.5,379939.8,377642.7,379736,397161.9,427111.7,404354,425548.4,409480.3,427001.7,437261.7,448298.1,425063.1,425682.9,435214.5,439644.6,446626,393241.6
South Africa,ZAF,Agricultural land (sq. km),AG.LND.AGRI.K2,981250,980130,980280,979280,976080,974830,968880,968900,971080,969880,968910,963740,963410,963410,963410,963410,963410,963410,963410,963410,963410
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.077159479,0.954338729,1.695942923,2.796209101,3.852552601,3.48322032,2.782810626,2.010507552,0.122188443,-2.599888351,2.708856694,1.54989495,2.280687603,1.841875395,2.287775933,2.706369582,1.667472076,2.241921216,2.945384831,2.294439078,-2.767802511
United States,USA,Population growth (annual %),SP.POP.GROW,1.112768997,0.989741382,0.927797486,0.859481713,0.925483969,0.921713167,0.964253917,0.951055243,0.945865287,0.876651299,0.829616675,0.726786705,0.733599941,0.692860277,0.73336152,0.736217309,0.724676067,0.632643995,0.526435396,0.455381286,0.9643479
United States,USA,Forest area (% of land area),AG.LND.FRST.ZS,33.13017359,33.18675561,33.24333764,33.29991967,33.35650169,33.41308372,33.46966575,33.52624777,33.6360635,33.69273522,33.74940694,33.77947006,33.80953318,33.8395963,33.86965942,33.89972254,33.89972254,33.86692641,33.86692641,33.86692641,33.86692641
United States,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,5775807.2,5748261.8,5593024.4,5658992,5738286,5753493.2,5653081,5736319.3,5558378.9,5156424.9,5392109.4,5173591.2,4956053,5092097.2,5107208.6,4990703.7,4894499.2,4819365.1,4975300.4,4817710.4,4320532.5
United States,USA,Agricultural land (sq. km),AG.LND.AGRI.K2,4143990,4149440,4130640,4130223,4129809,4129396,4128988,4128576,4109023,4089470,4069917,4050364,4030810.538,4036270,4041729,4047187,4052646,4058103.538,4058103.538,4058103.538,4058103.538
United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.092653478,2.157428178,1.770765299,3.123053313,2.344971482,2.668337657,2.160405321,2.563460461,-0.154344315,-4.5104856,2.430072895,1.067610914,1.448456757,1.819863375,3.199702626,2.393103184,2.165206211,2.44357047,1.705021022,1.604308648,-11.03085846
United Kingdom,GBR,Population growth (annual %),SP.POP.GROW,0.357300887,0.38497597,0.42333708,0.465641114,0.568943113,0.686611306,0.735048678,0.778666112,0.787032622,0.75639086,0.783888647,0.781506562,0.695353132,0.669740536,0.736463979,0.792367506,0.757874493,0.679374474,0.605929132,0.564131113,0.365758264
United Kingdom,GBR,Forest area (% of land area),AG.LND.FRST.ZS,12.21014343,12.25354441,12.2969454,12.34034638,12.38374736,12.42714835,12.47054933,12.51395032,12.5573513,12.60075228,12.64415327,12.72351507,12.80287687,12.88223866,12.96160046,13.04096226,13.05749597,13.07816311,13.11536395,13.15256479,13.18563221
United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,530888.2,545262.2,530785.9,543037.1,543075.9,540917,542060.8,530502.5,515335.6,466492.5,482646.2,445648.4,467831,453778.1,415609,401075.3,382154.9,366844.1,360555.9,345934.3,308650.3
United Kingdom,GBR,Agricultural land (sq. km),AG.LND.AGRI.K2,169640,169530,169760,169560,170510,169560,178380,176470,176840,173250,172240,171640,171820,172502,172320,171380,173499.818,174661.525,173508.616,175212.961,172592.981
